x_data,Server CPU Utilization (%),x_data,95th Latency (ms),x_data,Actual RPS
400,7.922499999999998,400,2.46,400,400.78
3400,53.175,3400,5937.69,3400,2776.5
1525,57.08375,1525,319.58,1525,1388.26
2950,50.7175,2950,4727.29,2950,1999.52
3825,52.08125,3825,6054.15,3825,2253.98
1550,55.5775,1550,539.48,1550,1418.62
2725,53.036249999999995,2725,2382.07,2725,2372.12
3700,59.18,3700,5179.22,3700,2390.48
175,3.297500000000001,175,380.71999999999997,175,173.52
3075,57.730000000000004,3075,6517.31,3075,2311.94
2800,45.4525,2800,5208.03,2800,2050.04
2425,58.73625,2425,2368.94,2425,2007.5
2275,39.91,2275,915.92,2275,1961.6799999999998
1225,44.09,1225,438.57,1225,1172.74
3775,60.39125,3775,6736.8,3775,2731.82
3750,53.175,3750,12300.0,3750,2298.4
3475,57.2625,3475,6422.53,3475,2252.1
3250,43.25125,3250,7016.9400000000005,3250,2062.56
2300,54.17,2300,277.77,2300,2274.86
550,14.141249999999998,550,374.38,550,536.8
700,17.872500000000002,700,430.82,700,695.36
3425,58.465,3425,4801.2,3425,2513.82
2975,48.38375,2975,4424.74,2975,2205.12
3900,62.57625,3900,4914.2,3900,2247.1
2100,51.11750000000001,2100,724.54,2100,2069.64
275,4.91,275,2.2,275,275.1
2250,47.792500000000004,2250,1195.41,2250,2295.88
3950,47.3275,3950,4366.37,3950,2745.7000000000003
2000,54.22,2000,428.43,2000,1984.8
3800,51.40875,3800,6268.8,3800,2170.52
3125,53.0225,3125,9032.11,3125,2363.62
3975,55.98125,3975,10560.64,3975,2311.8
2825,49.5275,2825,4982.12,2825,2282.68
3850,55.5875,3850,7205.99,3850,2003.58
2900,57.292500000000004,2900,5507.61,2900,1885.96
525,16.733749999999997,525,242.73999999999998,525,526.36
3725,58.305,3725,7990.92,3725,2378.04
3350,53.16875,3350,5747.47,3350,2234.64
1500,52.87375,1500,221.79999999999998,1500,1352.0
1900,43.33625,1900,2717.0299999999997,1900,1573.8999999999999
1775,55.1475,1775,870.95,1775,1648.8600000000001
3925,57.272499999999994,3925,8235.05,3925,1498.8600000000001
2875,48.426249999999996,2875,5108.82,2875,2333.3
1425,43.370000000000005,1425,940.63,1425,1376.8
3225,37.6275,3225,6292.96,3225,2369.88
1950,57.712500000000006,1950,864.83,1950,1811.26
1925,39.9375,1925,512.25,1925,1911.96
3100,29.485,3100,4398.5,3100,1922.72
2200,57.051249999999996,2200,3616.89,2200,2108.02
2675,48.095,2675,4870.0,2675,1873.52
