@
Linux 4.14.0-115.el7a.aarch64 (localhost.localdomain) 	2019年03月12日 	_aarch64_	(64 CPU)

01时06分04秒  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01时06分05秒  all    1.70    0.00    0.64    0.00    0.00    0.00    0.00    0.00    0.00   97.66
01时06分05秒    0    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01时06分05秒    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒    2    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01时06分05秒    3    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
01时06分05秒    4    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01时06分05秒    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒   10    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
01时06分05秒   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒   12    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01时06分05秒   13    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01时06分05秒   14    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01时06分05秒   15    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01时06分05秒   16    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
01时06分05秒   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒   23    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.02
01时06分05秒   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒   32    7.92    0.00    4.95    0.00    0.00    0.00    0.00    0.00    0.00   87.13
01时06分05秒   33    4.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
01时06分05秒   34   18.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   75.00
01时06分05秒   35    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
01时06分05秒   36    2.97    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   96.04
01时06分05秒   37    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01时06分05秒   38    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
01时06分05秒   39    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
01时06分05秒   40    4.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
01时06分05秒   41    4.17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.83
01时06分05秒   42    3.06    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.94
01时06分05秒   43   13.59    0.00    3.88    0.00    0.00    0.00    0.00    0.00    0.00   82.52
01时06分05秒   44   26.00    0.00   11.00    0.00    0.00    0.00    0.00    0.00    0.00   63.00
