Operations,avg,avgMean,avgStd,cycles,cyclesMean,cyclesStd,instructionsK,instructionsKMean,instructionsKStd,instructionsU,instructionsUMean,instructionsUStd,ipcK,ipcKMean,ipcKStd,ipcTotal,ipcTotalMean,ipcTotalStd,ipcU,ipcUMean,ipcUStd,p90th,p90thMean,p90thStd,p99th,p99thMean,p99thStd,throughput,throughputMean,throughputStd,totalOps,totalOpsMean,totalOpsStd
40,0.032,0.032,0.0,31173145623.0,31173145623.0,0.0,80403323.0,80403323.0,0.0,56217335681.0,56217335681.0,0.0,0.002579249587846446,0.002579249587846446,0.0,1.8059691403893072,1.8059691403893072,0.0,1.8033898908014607,1.8033898908014607,0.0,0.083,0.083,0.0,0.17,0.17,0.0,19.9,19.9,0.0,398.0,398.0,0.0
70,0.033,0.033,0.0,52134200743.0,52134200743.0,0.0,121120598.0,121120598.0,0.0,91518337073.0,91518337073.0,0.0,0.002323246473022083,0.002323246473022083,0.0,1.757760862638799,1.757760862638799,0.0,1.755437616165777,1.755437616165777,0.0,0.083,0.083,0.0,0.16,0.16,0.0,33.6,33.6,0.0,672.0,672.0,0.0
100,0.034,0.034,0.0,93244291448.0,93244291448.0,0.0,202192247.0,202192247.0,0.0,155552695384.0,155552695384.0,0.0,0.002168414214534061,0.002168414214534061,0.0,1.6703959589618478,1.6703959589618478,0.0,1.6682275447473138,1.6682275447473138,0.0,0.085,0.085,0.0,0.163,0.163,0.0,52.45,52.45,0.0,1049.0,1049.0,0.0
130,0.033,0.033,0.0,96046455748.0,96046455748.0,0.0,197395478.0,197395478.0,0.0,169335540816.0,169335540816.0,0.0,0.0020552083516534175,0.0020552083516534175,0.0,1.7651139229833603,1.7651139229833603,0.0,1.763058714631707,1.763058714631707,0.0,0.085,0.085,0.0,0.163,0.163,0.0,64.05,64.05,0.0,1281.0,1281.0,0.0
160,0.035,0.035,0.0,119805321372.0,119805321372.0,0.0,238064294.0,238064294.0,0.0,208780462753.0,208780462753.0,0.0,0.0019870928208672923,0.0019870928208672923,0.0,1.744651444972045,1.744651444972045,0.0,1.7426643521511775,1.7426643521511775,0.0,0.09,0.09,0.0,0.175,0.175,0.0,73.75,73.75,0.0,1475.0,1475.0,0.0
190,0.036,0.036,0.0,151090789980.0,151090789980.0,0.0,287247807.0,287247807.0,0.0,282956886689.0,282956886689.0,0.0,0.001901160269517574,0.001901160269517574,0.0,1.8746618144858018,1.8746618144858018,0.0,1.8727606542162842,1.8727606542162842,0.0,0.09,0.09,0.0,0.175,0.175,0.0,96.15,96.15,0.0,1923.0,1923.0,0.0
220,0.036,0.036,0.0,170908214172.0,170908214172.0,0.0,342688557.0,342688557.0,0.0,315535476850.0,315535476850.0,0.0,0.002005102906611161,0.002005102906611161,0.0,1.8482327893795905,1.8482327893795905,0.0,1.8462276864729792,1.8462276864729792,0.0,0.09,0.09,0.0,0.183,0.183,0.0,107.65,107.65,0.0,2153.0,2153.0,0.0
250,0.036,0.036,0.0,201978900536.0,201978900536.0,0.0,390848756.0,390848756.0,0.0,360749051625.0,360749051625.0,0.0,0.0019350969579633715,0.0019350969579633715,0.0,1.7880080514480854,1.7880080514480854,0.0,1.786072954490122,1.786072954490122,0.0,0.09,0.09,0.0,0.183,0.183,0.0,128.15,128.15,0.0,2563.0,2563.0,0.0
280,0.037,0.037,0.0,225047696462.0,225047696462.0,0.0,432958328.0,432958328.0,0.0,391013525770.0,391013525770.0,0.0,0.0019238514093082768,0.0019238514093082768,0.0,1.7393934274910339,1.7393934274910339,0.0,1.7374695760817256,1.7374695760817256,0.0,0.095,0.095,0.0,0.183,0.183,0.0,139.6,139.6,0.0,2792.0,2792.0,0.0
310,0.043,0.043,0.0,267751048221.0,267751048221.0,0.0,515657306.0,515657306.0,0.0,450285963219.0,450285963219.0,0.0,0.001925883425764891,0.001925883425764891,0.0,1.6836595916999408,1.6836595916999408,0.0,1.681733708274176,1.681733708274176,0.0,0.108,0.108,0.0,0.223,0.223,0.0,157.5,157.5,0.0,3150.0,3150.0,0.0
