Operations,avg,cycles,instructionsK,instructionsU,ipcK,ipcTotal,ipcU,p90th,p99th,throughput,totalOps
10,0.034,9802280393.0,136635318.0,14028096134.0,0.013939135846141879,1.4450445084304373,1.4311053725842955,0.078,0.205,4.9,98.0
40,0.035,28306920225.0,196475107.0,50028017583.0,0.0069408860249826065,1.7742831890854351,1.7673423030604525,0.085,0.135,18.75,375.0
70,0.032,49251331871.0,272809748.0,88497344964.0,0.005539134428172386,1.8023909474064261,1.7968518129782538,0.08,0.133,36.0,720.0
100,0.03,68493079172.0,328961785.0,118707611924.0,0.0048028470755988395,1.737935790710694,1.7331329436350953,0.073,0.123,51.65,1033.0
130,0.031,77941866334.0,334901826.0,137203770390.0,0.004296815585155013,1.7646314963336018,1.7603346807484468,0.075,0.125,63.85,1277.0
160,0.031,114860225078.0,439364890.0,195035100753.0,0.0038252135558817977,1.7018464443218353,1.6980212307659535,0.075,0.138,81.8,1636.0
190,0.03,129719265412.0,475316874.0,215796351181.0,0.003664196466811241,1.667228590665402,1.663564394198591,0.075,0.138,95.4,1908.0
220,0.031,161467663414.0,587773414.0,263047211481.0,0.00364019272696701,1.6327416853679546,1.6291014926409877,0.078,0.143,111.25,2225.0
250,0.03,186063703871.0,600400750.0,297922630689.0,0.0032268558429658285,1.6044130328931283,1.6011861770501625,0.075,0.14,128.4,2568.0
280,0.03,228466651861.0,725544748.0,353321162388.0,0.00317571401379587,1.549664707089958,1.5464889930761623,0.075,0.13,144.1,2882.0
310,0.03,230202823629.0,710043166.0,352995330871.0,0.003084424225587786,1.536494507152699,1.5334100829271111,0.075,0.15,153.5,3070.0
340,0.03,278761628037.0,849251977.0,420185284555.0,0.0030465167784401045,1.510374794037708,1.5073282772592678,0.078,0.14,171.95,3439.0
370,0.038,179031702643.0,651128207.0,259702594981.0,0.0036369436104754524,1.4542325149370947,1.4505955713266192,0.09,0.245,110.45,2209.0
400,0.031,322511844613.0,903785534.0,462919292068.0,0.002802332841711605,1.4381582734071898,1.4353559405654783,0.078,0.155,199.3,3986.0
430,0.051,238088905396.0,832551993.0,330795660455.0,0.003496811376469906,1.392875539061433,1.389378727684963,0.113,0.46,140.35,2807.0
460,0.031,384991760714.0,1103583666.0,540891387735.0,0.0028665124260148066,1.4078092746603827,1.404942762234368,0.08,0.148,225.6,4512.0
490,0.034,421175289485.0,1106346541.0,566312648086.0,0.0026268078128534227,1.3472276479487253,1.3446008401358718,0.088,0.165,245.7,4914.0
520,0.068,460522516814.0,1266564348.0,601160165340.0,0.0027502767003932437,1.3081374041289573,1.305387127428564,0.153,0.708,267.0,5340.0
550,0.079,535899465492.0,1502977655.0,669514951628.0,0.0028045888301458603,1.2521339775305618,1.249329388700416,0.178,0.85,279.55,5591.0
580,0.068,518548980068.0,1498123497.0,638463058315.0,0.0028890684478900014,1.2341383483737227,1.2312492799258328,0.16,0.593,267.4,5348.0
