Operations,avg,avgMean,avgStd,CPUUtilClient,CPUUtilClientMean,CPUUtilClientStd,CPUUtilServer,CPUUtilServerMean,CPUUtilServerStd,cycles,cyclesMean,cyclesStd,instructionsK,instructionsKMean,instructionsKStd,instructionsU,instructionsUMean,instructionsUStd,ipcK,ipcKMean,ipcKStd,ipcTotal,ipcTotalMean,ipcTotalStd,ipcU,ipcUMean,ipcUStd,p90th,p90thMean,p90thStd,p99th,p99thMean,p99thStd,throughput,throughputMean,throughputStd,totalOps,totalOpsMean,totalOpsStd
260,0.033,0.033,0.0,0.5678035714285699,0.5678035714285699,0.0,15.58319642857144,15.58319642857144,0.0,197526505673.0,197526505673.0,0.0,414141886.0,414141886.0,0.0,414269662019.0,414269662019.0,0.0,0.0020966395602907144,0.0020966395602907144,0.0,2.0993830802206275,2.0993830802206275,0.0,2.0972864406603366,2.0972864406603366,0.0,0.085,0.085,0.0,0.15,0.15,0.0,128.95,128.95,0.0,2579.0,2579.0,0.0
280,0.033,0.033,0.0,0.5604511278195474,0.5604511278195474,0.0,16.70353383458648,16.70353383458648,0.0,205762354545.0,205762354545.0,0.0,401663281.0,401663281.0,0.0,421859268609.0,421859268609.0,0.0,0.001952073701179176,0.001952073701179176,0.0,2.0521777796708287,2.0521777796708287,0.0,2.0502257059696496,2.0502257059696496,0.0,0.088,0.088,0.0,0.163,0.163,0.0,139.9,139.9,0.0,2798.0,2798.0,0.0
300,0.033,0.033,0.0,0.5680827067669298,0.5680827067669298,0.0,18.052800751879687,18.052800751879687,0.0,218389229127.0,218389229127.0,0.0,436548073.0,436548073.0,0.0,457602925716.0,457602925716.0,0.0,0.0019989450704372145,0.0019989450704372145,0.0,2.097353773443818,2.097353773443818,0.0,2.0953548283733805,2.0953548283733805,0.0,0.088,0.088,0.0,0.165,0.165,0.0,153.35,153.35,0.0,3067.0,3067.0,0.0
320,0.034,0.034,0.0,0.5379135338345975,0.5379135338345975,0.0,19.38315789473684,19.38315789473684,0.0,233831430015.0,233831430015.0,0.0,484740996.0,484740996.0,0.0,490127490977.0,490127490977.0,0.0,0.002073036101130222,0.002073036101130222,0.0,2.0981449411720563,2.0981449411720563,0.0,2.096071905070926,2.096071905070926,0.0,0.085,0.085,0.0,0.163,0.163,0.0,158.95,158.95,0.0,3179.0,3179.0,0.0
340,0.033,0.033,0.0,0.5732330827067926,0.5732330827067926,0.0,20.27176691729325,20.27176691729325,0.0,246247271991.0,246247271991.0,0.0,488721760.0,488721760.0,0.0,515310968404.0,515310968404.0,0.0,0.0019846788800887186,0.0019846788800887186,0.0,2.094641235996522,2.094641235996522,0.0,2.0926565571164333,2.0926565571164333,0.0,0.085,0.085,0.0,0.153,0.153,0.0,171.45,171.45,0.0,3429.0,3429.0,0.0
360,0.034,0.034,0.0,0.5804511278195434,0.5804511278195434,0.0,22.305413533834567,22.305413533834567,0.0,265570472779.0,265570472779.0,0.0,508366928.0,508366928.0,0.0,558349857784.0,558349857784.0,0.0,0.001914244918421515,0.001914244918421515,0.0,2.1043688285973925,2.1043688285973925,0.0,2.102454583678971,2.102454583678971,0.0,0.088,0.088,0.0,0.165,0.165,0.0,179.7,179.7,0.0,3594.0,3594.0,0.0
380,0.033,0.033,0.0,0.629812030075172,0.629812030075172,0.0,22.416654135338362,22.416654135338362,0.0,270817135923.0,270817135923.0,0.0,560766633.0,560766633.0,0.0,567938383925.0,567938383925.0,0.0,0.0020706467893502863,0.0020706467893502863,0.0,2.0991993310188404,2.0991993310188404,0.0,2.09712868422949,2.09712868422949,0.0,0.088,0.088,0.0,0.163,0.163,0.0,190.95,190.95,0.0,3819.0,3819.0,0.0
400,0.033,0.033,0.0,0.6643796992481299,0.6643796992481299,0.0,23.578571428571408,23.578571428571408,0.0,287199940386.0,287199940386.0,0.0,566555167.0,566555167.0,0.0,602912086052.0,602912086052.0,0.0,0.0019726855313359167,0.0019726855313359167,0.0,2.101249186918068,2.101249186918068,0.0,2.099276501386732,2.099276501386732,0.0,0.085,0.085,0.0,0.16,0.16,0.0,199.25,199.25,0.0,3985.0,3985.0,0.0
420,0.033,0.033,0.0,0.6661842105263247,0.6661842105263247,0.0,25.126165413533812,25.126165413533812,0.0,305082396644.0,305082396644.0,0.0,601796037.0,601796037.0,0.0,641567552953.0,641567552953.0,0.0,0.001972568865394861,0.001972568865394861,0.0,2.1049046292216786,2.1049046292216786,0.0,2.102932060356284,2.102932060356284,0.0,0.088,0.088,0.0,0.163,0.163,0.0,211.15,211.15,0.0,4223.0,4223.0,0.0
440,0.033,0.033,0.0,0.7139849624060162,0.7139849624060162,0.0,26.061315789473696,26.061315789473696,0.0,312887224889.0,312887224889.0,0.0,647776033.0,647776033.0,0.0,656868495822.0,656868495822.0,0.0,0.002070317933977027,0.002070317933977027,0.0,2.1014481242826735,2.1014481242826735,0.0,2.0993778063486963,2.0993778063486963,0.0,0.085,0.085,0.0,0.168,0.168,0.0,221.85,221.85,0.0,4437.0,4437.0,0.0
460,0.034,0.034,0.0,0.5234586466165467,0.5234586466165467,0.0,27.349417293233074,27.349417293233074,0.0,330377301747.0,330377301747.0,0.0,641987453.0,641987453.0,0.0,694630405636.0,694630405636.0,0.0,0.001943194794573473,0.001943194794573473,0.0,2.10447990649622,2.10447990649622,0.0,2.1025367117016462,2.1025367117016462,0.0,0.088,0.088,0.0,0.165,0.165,0.0,227.2,227.2,0.0,4544.0,4544.0,0.0
480,0.034,0.034,0.0,0.6612321428571448,0.6612321428571448,0.0,29.00453571428571,29.00453571428571,0.0,369574983957.0,369574983957.0,0.0,718203982.0,718203982.0,0.0,777681328106.0,777681328106.0,0.0,0.0019433241241337993,0.0019433241241337993,0.0,2.1062018964426628,2.1062018964426628,0.0,2.1042585723185288,2.1042585723185288,0.0,0.088,0.088,0.0,0.163,0.163,0.0,239.95,239.95,0.0,4799.0,4799.0,0.0
500,0.035,0.035,0.0,0.8827819548872213,0.8827819548872213,0.0,31.588007518796985,31.588007518796985,0.0,383185766525.0,383185766525.0,0.0,750319808.0,750319808.0,0.0,806413038081.0,806413038081.0,0.0,0.001958109808734368,0.001958109808734368,0.0,2.1064544364706683,2.1064544364706683,0.0,2.104496326661934,2.104496326661934,0.0,0.09,0.09,0.0,0.175,0.175,0.0,255.0,255.0,0.0,5100.0,5100.0,0.0
520,0.034,0.034,0.0,0.806466165413525,0.806466165413525,0.0,31.231184210526308,31.231184210526308,0.0,376933986290.0,376933986290.0,0.0,739389506.0,739389506.0,0.0,791276860821.0,791276860821.0,0.0,0.0019615888534687325,0.0019615888534687325,0.0,2.1012067872214897,2.1012067872214897,0.0,2.099245198368021,2.099245198368021,0.0,0.09,0.09,0.0,0.17,0.17,0.0,258.25,258.25,0.0,5165.0,5165.0,0.0
540,0.034,0.034,0.0,0.7383646616541313,0.7383646616541313,0.0,32.54919172932331,32.54919172932331,0.0,393863632308.0,393863632308.0,0.0,764193756.0,764193756.0,0.0,827475788425.0,827475788425.0,0.0,0.001940249602437026,0.001940249602437026,0.0,2.1028597571387837,2.1028597571387837,0.0,2.1009195075363465,2.1009195075363465,0.0,0.088,0.088,0.0,0.165,0.165,0.0,272.3,272.3,0.0,5446.0,5446.0,0.0
560,0.035,0.035,0.0,0.5646071428571275,0.5646071428571275,0.0,35.23117857142857,35.23117857142857,0.0,453190616510.0,453190616510.0,0.0,872579843.0,872579843.0,0.0,952237184184.0,952237184184.0,0.0,0.0019254146295430764,0.0019254146295430764,0.0,2.103110102691124,2.103110102691124,0.0,2.101184688061581,2.101184688061581,0.0,0.088,0.088,0.0,0.168,0.168,0.0,286.8,286.8,0.0,5736.0,5736.0,0.0
580,0.034,0.034,0.0,0.7356390977443681,0.7356390977443681,0.0,36.364567669172935,36.364567669172935,0.0,440228804588.0,440228804588.0,0.0,832956236.0,832956236.0,0.0,927627756473.0,927627756473.0,0.0,0.0018920984436253429,0.0018920984436253429,0.0,2.1090412599828063,2.1090412599828063,0.0,2.107149161539181,2.107149161539181,0.0,0.09,0.09,0.0,0.165,0.165,0.0,295.2,295.2,0.0,5904.0,5904.0,0.0
600,0.035,0.035,0.0,0.6938721804511232,0.6938721804511232,0.0,36.633834586466165,36.633834586466165,0.0,449220583921.0,449220583921.0,0.0,850502054.0,850502054.0,0.0,945609659290.0,945609659290.0,0.0,0.0018932837996345454,0.0018932837996345454,0.0,2.106894018708734,2.106894018708734,0.0,2.1050007349091,2.1050007349091,0.0,0.093,0.093,0.0,0.168,0.168,0.0,300.2,300.2,0.0,6004.0,6004.0,0.0
620,0.034,0.034,0.0,0.5862030075188187,0.5862030075188187,0.0,37.91772556390979,37.91772556390979,0.0,459830749900.0,459830749900.0,0.0,913570189.0,913570189.0,0.0,965366724127.0,965366724127.0,0.0,0.0019867531460187804,0.0019867531460187804,0.0,2.1013825076425148,2.1013825076425148,0.0,2.099395754496496,2.099395754496496,0.0,0.088,0.088,0.0,0.158,0.158,0.0,312.7,312.7,0.0,6254.0,6254.0,0.0
640,0.034,0.034,0.0,0.918214285714285,0.918214285714285,0.0,39.04174812030076,39.04174812030076,0.0,476434698386.0,476434698386.0,0.0,938044844.0,938044844.0,0.0,1001038154132.0,1001038154132.0,0.0,0.001968884397332477,0.001968884397332477,0.0,2.103071422737171,2.103071422737171,0.0,2.1011025383398385,2.1011025383398385,0.0,0.09,0.09,0.0,0.17,0.17,0.0,327.35,327.35,0.0,6547.0,6547.0,0.0
660,0.035,0.035,0.0,0.7025375939849567,0.7025375939849567,0.0,40.78046992481204,40.78046992481204,0.0,494478290632.0,494478290632.0,0.0,971751162.0,971751162.0,0.0,1039862504051.0,1039862504051.0,0.0,0.0019652049046642484,0.0019652049046642484,0.0,2.1049139566525645,2.1049139566525645,0.0,2.1029487517479004,2.1029487517479004,0.0,0.093,0.093,0.0,0.17,0.17,0.0,329.4,329.4,0.0,6588.0,6588.0,0.0
