Operations,avg,cycles,instructionsK,instructionsU,ipcK,ipcTotal,ipcU,p90th,p99th,throughput,totalOps
10,0.029,6860996640.0,76406617.0,11363186442.0,0.011136372892903793,1.6673369277440717,1.656200554851168,0.07,0.14,3.85,77.0
40,0.039,35503933118.0,89085668.0,60411761452.0,0.0025091774396914577,1.7040604182900208,1.7015512408503293,0.103,0.16,19.1,382.0
70,0.038,61121639054.0,130727167.0,107358673342.0,0.002138803360369715,1.7586144968075026,1.7564756934471328,0.103,0.18,36.45,729.0
100,0.042,96513648656.0,191605670.0,168356350858.0,0.0019852701940938212,1.746363948261341,1.744378678067247,0.105,0.223,49.75,995.0
130,0.039,121605310095.0,218874716.0,216990822864.0,0.0017998779480025305,1.7861859602209176,1.784386082272915,0.1,0.188,66.45,1329.0
160,0.04,151250776709.0,263351373.0,269760216563.0,0.0017411571611739669,1.7852706201668886,1.7835294630057146,0.1,0.198,81.75,1635.0
190,0.041,173239003587.0,317410478.0,310817088296.0,0.0018322114040594652,1.7959841163468098,1.7941519049427503,0.105,0.205,93.1,1862.0
220,0.041,192668920092.0,331189720.0,343928132783.0,0.0017189576805737837,1.7867921942917162,1.7850732366111424,0.103,0.218,109.85,2197.0
250,0.04,231176015033.0,398746231.0,413166198821.0,0.0017248598689750736,1.7889613028971205,1.7872364430281455,0.103,0.208,126.6,2532.0
280,0.041,260645810982.0,458092611.0,466771215782.0,0.0017575291514339187,1.7925832248470954,1.7908256956956614,0.105,0.205,142.35,2847.0
310,0.039,270259101339.0,469700676.0,483614396048.0,0.0017379643226550587,1.7911851786881665,1.7894472143655114,0.103,0.19,159.6,3192.0
340,0.04,307397398435.0,533023312.0,549978239510.0,0.001733987713343349,1.7908780803764905,1.7891440926631472,0.105,0.208,174.3,3486.0
370,0.038,313378697258.0,547945443.0,562475414033.0,0.0017485089056608232,1.7966229498122883,1.7948744409066275,0.098,0.19,189.3,3786.0
400,0.039,335660195270.0,591811911.0,602294409480.0,0.001763128066239595,1.79612068957431,1.7943575615080705,0.103,0.2,202.25,4045.0
430,0.039,356563466709.0,636998530.0,638298097461.0,0.0017864941012587523,1.7919252970255932,1.7901388029243344,0.103,0.198,213.15,4263.0
460,0.039,399789187027.0,681040366.0,715041002221.0,0.0017034987140710374,1.7902486255554062,1.7885451268413353,0.1,0.203,233.9,4678.0
490,0.039,420692451731.0,732860167.0,753334253125.0,0.0017420330789975926,1.7924426981974164,1.7907006651184187,0.1,0.2,249.2,4984.0
520,0.04,448563202080.0,790141299.0,803491776509.0,0.0017614937991705358,1.793018049805518,1.7912565560063474,0.105,0.203,263.5,5270.0
550,0.04,468896925743.0,816233267.0,839447124138.0,0.0017407520121967557,1.792000141765792,1.7902593897535952,0.105,0.22,275.1,5502.0
580,0.04,552665330158.0,933615635.0,990152592421.0,0.0016892965490219753,1.7932845683890848,1.7915952718400627,0.105,0.21,301.85,6037.0
610,0.041,532541754488.0,915871647.0,953834148592.0,0.001719811900722308,1.7928172057737002,1.791097393872978,0.105,0.203,307.2,6144.0
640,0.04,556221468047.0,942297688.0,998613479869.0,0.0016941052119196108,1.7970463834605874,1.7953522782486677,0.103,0.208,323.1,6462.0
670,0.04,581783250196.0,964260722.0,1045732883459.0,0.0016574226254797559,1.7991187333570926,1.7974613107316129,0.105,0.21,337.95,6759.0
700,0.04,598656729390.0,1034368602.0,1072452370517.0,0.0017278158771454348,1.7931590616425994,1.791431245765454,0.105,0.215,351.65,7033.0
730,0.04,661819951071.0,1156923937.0,1185308189636.0,0.0017480946821379299,1.7927309559843054,1.7909828613021674,0.108,0.213,365.55,7311.0
760,0.041,662185347504.0,1121405302.0,1184482231489.0,0.0016934915673186594,1.7904407599170535,1.788747268349735,0.103,0.22,387.3,7746.0
790,0.04,863278380565.0,1544471872.0,1212779846961.0,0.0017890774363991037,1.4066428004814007,1.4048537230450016,0.103,0.22,401.05,8021.0
820,0.041,756404559175.0,1275022116.0,1355853022027.0,0.0016856351545403811,1.7941827923713216,1.7924971572167812,0.108,0.218,411.6,8232.0
