@
Linux 4.14.0-115.el7a.0.1.aarch64 (nytp-cn9900-s01) 	04/18/2019 	_aarch64_	(56 CPU)

07:34:48 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:34:49 AM  all   15.31    0.00    0.09    0.00    0.00    0.05    0.00    0.00    0.00   84.54
07:34:49 AM    0    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
07:34:49 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:34:49 AM    2    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.02
07:34:49 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:34:49 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:34:49 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:34:49 AM    6    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
07:34:49 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:34:49 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:34:49 AM    9    3.92    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.08
07:34:49 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:34:49 AM   11    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
07:34:49 AM   12    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
07:34:49 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:34:49 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:34:49 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:34:49 AM   16    0.00    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   98.02
07:34:49 AM   17    2.91    0.00    0.00    0.00    0.00    0.97    0.00    0.00    0.00   96.12
07:34:49 AM   18    1.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.02
07:34:49 AM   19    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
07:34:49 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:34:49 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:34:49 AM   22    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
07:34:49 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:34:49 AM   24    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
07:34:49 AM   25    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:34:49 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:34:49 AM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:34:49 AM   28   12.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
07:34:49 AM   29   19.61    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   80.39
07:34:49 AM   30   39.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   61.00
07:34:49 AM   31   21.43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   78.57
07:34:49 AM   32   38.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   62.00
07:34:49 AM   33   18.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   82.00
07:34:49 AM   34   32.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   67.96
07:34:49 AM   35   19.19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   80.81
07:34:49 AM   36   32.32    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   67.68
07:34:49 AM   37   41.41    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   58.59
07:34:49 AM   38   30.39    0.00    0.00    0.00    0.00    0.98    0.00    0.00    0.00   68.63
07:34:49 AM   39   31.96    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   68.04
07:34:49 AM   40   24.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   76.00
07:34:49 AM   41   37.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   62.89
07:34:49 AM   42   34.62    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   65.38
07:34:49 AM   43   43.43    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   56.57
07:34:49 AM   44   45.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   55.00
07:34:49 AM   45   40.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   59.00
