@
Linux 3.10.0-514.el7.x86_64 (n145.parsacluster.epfl.ch) 	05/16/2019 	_x86_64_	(24 CPU)

11:15:28 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:15:29 AM  all    1.59    0.00    0.38    0.33    0.00    0.00    0.00    0.00    0.00   97.71
11:15:29 AM    0    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
11:15:29 AM    1    7.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
11:15:29 AM    2    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   98.02
11:15:29 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:15:29 AM    4    1.00    0.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00   95.00
11:15:29 AM    5    4.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.96
11:15:29 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:15:29 AM    7   10.89    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   88.12
11:15:29 AM    8    0.99    0.00    0.00    2.97    0.00    0.00    0.00    0.00    0.00   96.04
11:15:29 AM    9    4.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   95.00
11:15:29 AM   10    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:15:29 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:15:29 AM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:15:29 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:15:29 AM   14    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:15:29 AM   15    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:15:29 AM   16    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:15:29 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:15:29 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:15:29 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:15:29 AM   20    2.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
11:15:29 AM   21    4.95    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.05
11:15:29 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:15:29 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:15:29 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:15:30 AM  all    1.71    0.00    0.21    0.00    0.00    0.04    0.00    0.00    0.00   98.04
11:15:30 AM    0    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:15:30 AM    1   11.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
11:15:30 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:15:30 AM    3    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:15:30 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:15:30 AM    5   14.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
11:15:30 AM    6    9.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
11:15:30 AM    7    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:15:30 AM    8    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:15:30 AM    9    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:15:30 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:15:30 AM   11    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:15:30 AM   12    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:15:30 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:15:30 AM   14    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
11:15:30 AM   15    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:15:30 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:15:30 AM   17    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:15:30 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:15:30 AM   19    0.98    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   98.04
11:15:30 AM   20    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:15:30 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:15:30 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:15:30 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:15:30 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:15:31 AM  all    1.67    0.00    0.42    0.17    0.00    0.00    0.00    0.00    0.00   97.75
11:15:31 AM    0    8.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.92
11:15:31 AM    1    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:15:31 AM    2    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:15:31 AM    3    6.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
11:15:31 AM    4    0.99    0.00    0.00    2.97    0.00    0.00    0.00    0.00    0.00   96.04
11:15:31 AM    5    7.07    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.93
11:15:31 AM    6    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
