Operations,avg,avgMean,avgStd,CPUUtilClient,CPUUtilClientMean,CPUUtilClientStd,CPUUtilServer,CPUUtilServerMean,CPUUtilServerStd,cycles,cyclesMean,cyclesStd,instructionsK,instructionsKMean,instructionsKStd,instructionsU,instructionsUMean,instructionsUStd,ipcK,ipcKMean,ipcKStd,ipcTotal,ipcTotalMean,ipcTotalStd,ipcU,ipcUMean,ipcUStd,p90th,p90thMean,p90thStd,p99th,p99thMean,p99thStd,throughput,throughputMean,throughputStd,totalOps,totalOpsMean,totalOpsStd
10,0.038,0.038,0.0,1.152000000000001,1.152000000000001,0.0,2.719041666666655,2.719041666666655,0.0,9260366054.0,9260366054.0,0.0,149976412.0,149976412.0,0.0,13714724242.0,13714724242.0,0.0,0.016195516583841513,0.016195516583841513,0.0,1.4972087035383623,1.4972087035383623,0.0,1.4810131869545209,1.4810131869545209,0.0,0.08,0.08,0.0,0.105,0.105,0.0,4.8,4.8,0.0,96.0,96.0,0.0
40,0.034,0.034,0.0,1.5837499999999949,1.5837499999999949,0.0,6.791333333333341,6.791333333333341,0.0,30588003965.0,30588003965.0,0.0,223106271.0,223106271.0,0.0,51724702318.0,51724702318.0,0.0,0.0072939140211727115,0.0072939140211727115,0.0,1.6983065860865172,1.6983065860865172,0.0,1.6910126720653444,1.6910126720653444,0.0,0.078,0.078,0.0,0.125,0.125,0.0,20.5,20.5,0.0,410.0,410.0,0.0
70,0.033,0.033,0.0,1.6284210526315661,1.6284210526315661,0.0,10.965614035087711,10.965614035087711,0.0,47818418140.0,47818418140.0,0.0,254993919.0,254993919.0,0.0,80488933532.0,80488933532.0,0.0,0.005332546096640913,0.005332546096640913,0.0,1.688552875475776,1.688552875475776,0.0,1.683220329379135,1.683220329379135,0.0,0.078,0.078,0.0,0.138,0.138,0.0,36.1,36.1,0.0,722.0,722.0,0.0
100,0.032,0.032,0.0,1.8340000000000174,1.8340000000000174,0.0,15.300458333333324,15.300458333333324,0.0,77172480639.0,77172480639.0,0.0,334566031.0,334566031.0,0.0,123805581897.0,123805581897.0,0.0,0.004335302276533576,0.004335302276533576,0.0,1.6086064216168834,1.6086064216168834,0.0,1.6042711193403498,1.6042711193403498,0.0,0.078,0.078,0.0,0.13,0.13,0.0,51.15,51.15,0.0,1023.0,1023.0,0.0
130,0.03,0.03,0.0,2.1442916666666605,2.1442916666666605,0.0,16.922124999999994,16.922124999999994,0.0,86656665389.0,86656665389.0,0.0,367633449.0,367633449.0,0.0,143500877487.0,143500877487.0,0.0,0.004242413983387209,0.004242413983387209,0.0,1.6602128675293146,1.6602128675293146,0.0,1.6559704535459274,1.6559704535459274,0.0,0.073,0.073,0.0,0.143,0.143,0.0,64.3,64.3,0.0,1286.0,1286.0,0.0
160,0.032,0.032,0.0,1.8671666666666766,1.8671666666666766,0.0,21.29025,21.29025,0.0,112081439754.0,112081439754.0,0.0,457931310.0,457931310.0,0.0,184823834778.0,184823834778.0,0.0,0.004085701531003551,0.004085701531003551,0.0,1.6530994471043776,1.6530994471043776,0.0,1.649013745573374,1.649013745573374,0.0,0.08,0.08,0.0,0.153,0.153,0.0,80.05,80.05,0.0,1601.0,1601.0,0.0
190,0.032,0.032,0.0,2.6749166666666753,2.6749166666666753,0.0,26.41495833333333,26.41495833333333,0.0,147533293861.0,147533293861.0,0.0,528594046.0,528594046.0,0.0,233209344723.0,233209344723.0,0.0,0.0035828797159373413,0.0035828797159373413,0.0,1.5843063802887678,1.5843063802887678,0.0,1.5807235005728304,1.5807235005728304,0.0,0.08,0.08,0.0,0.143,0.143,0.0,98.05,98.05,0.0,1961.0,1961.0,0.0
220,0.031,0.031,0.0,2.4701754385964705,2.4701754385964705,0.0,28.620614035087726,28.620614035087726,0.0,165055116657.0,165055116657.0,0.0,584861457.0,584861457.0,0.0,253650608484.0,253650608484.0,0.0,0.0035434312419129477,0.0035434312419129477,0.0,1.5403065054282754,1.5403065054282754,0.0,1.5367630741863625,1.5367630741863625,0.0,0.078,0.078,0.0,0.15,0.15,0.0,108.65,108.65,0.0,2173.0,2173.0,0.0
250,0.031,0.031,0.0,2.32941666666666,2.32941666666666,0.0,31.87537499999999,31.87537499999999,0.0,186722255278.0,186722255278.0,0.0,617792264.0,617792264.0,0.0,282848261512.0,282848261512.0,0.0,0.0033086161212020748,0.0033086161212020748,0.0,1.5181160561389093,1.5181160561389093,0.0,1.5148074400177072,1.5148074400177072,0.0,0.078,0.078,0.0,0.14,0.14,0.0,124.75,124.75,0.0,2495.0,2495.0,0.0
280,0.03,0.03,0.0,2.9984210526315707,2.9984210526315707,0.0,35.790087719298256,35.790087719298256,0.0,218734121536.0,218734121536.0,0.0,706979452.0,706979452.0,0.0,323513236118.0,323513236118.0,0.0,0.0032321406785344323,0.0032321406785344323,0.0,1.482257149882483,1.482257149882483,0.0,1.4790250092039485,1.4790250092039485,0.0,0.075,0.075,0.0,0.145,0.145,0.0,144.65,144.65,0.0,2893.0,2893.0,0.0
310,0.031,0.031,0.0,2.922982456140346,2.922982456140346,0.0,38.68456140350877,38.68456140350877,0.0,240767945718.0,240767945718.0,0.0,728018772.0,728018772.0,0.0,352494218189.0,352494218189.0,0.0,0.003023736277804578,0.003023736277804578,0.0,1.467065044342374,1.467065044342374,0.0,1.4640413080645696,1.4640413080645696,0.0,0.078,0.078,0.0,0.138,0.138,0.0,154.35,154.35,0.0,3087.0,3087.0,0.0
340,0.031,0.031,0.0,3.342938596491237,3.342938596491237,0.0,43.68083333333333,43.68083333333333,0.0,281748536680.0,281748536680.0,0.0,801816655.0,801816655.0,0.0,402126109915.0,402126109915.0,0.0,0.002845859163807033,0.002845859163807033,0.0,1.4300976726194368,1.4300976726194368,0.0,1.4272518134556298,1.4272518134556298,0.0,0.078,0.078,0.0,0.158,0.158,0.0,173.25,173.25,0.0,3465.0,3465.0,0.0
370,0.03,0.03,0.0,3.4893749999999955,3.4893749999999955,0.0,45.18304166666667,45.18304166666667,0.0,310076460608.0,310076460608.0,0.0,903811291.0,903811291.0,0.0,440776980096.0,440776980096.0,0.0,0.002914801366178525,0.002914801366178525,0.0,1.4244254159794953,1.4244254159794953,0.0,1.4215106146133167,1.4215106146133167,0.0,0.078,0.078,0.0,0.138,0.138,0.0,184.35,184.35,0.0,3687.0,3687.0,0.0
400,0.032,0.032,0.0,3.086052631578923,3.086052631578923,0.0,49.90697368421053,49.90697368421053,0.0,330257126808.0,330257126808.0,0.0,939444495.0,939444495.0,0.0,450933748945.0,450933748945.0,0.0,0.002844585078541425,0.002844585078541425,0.0,1.3682466077490687,1.3682466077490687,0.0,1.3654020226705272,1.3654020226705272,0.0,0.078,0.078,0.0,0.163,0.163,0.0,205.65,205.65,0.0,4113.0,4113.0,0.0
430,0.033,0.033,0.0,3.3291228070175407,3.3291228070175407,0.0,54.17381578947368,54.17381578947368,0.0,362131042411.0,362131042411.0,0.0,1025226876.0,1025226876.0,0.0,484679050339.0,484679050339.0,0.0,0.0028310935985333746,0.0028310935985333746,0.0,1.3412390000627197,1.3412390000627197,0.0,1.3384079064641863,1.3384079064641863,0.0,0.083,0.083,0.0,0.173,0.173,0.0,216.6,216.6,0.0,4332.0,4332.0,0.0
460,0.036,0.036,0.0,3.689541666666642,3.689541666666642,0.0,60.795625,60.795625,0.0,436237612189.0,436237612189.0,0.0,1154326356.0,1154326356.0,0.0,568378753038.0,568378753038.0,0.0,0.0026460954391522937,0.0026460954391522937,0.0,1.3055570255305031,1.3055570255305031,0.0,1.3029109300913508,1.3029109300913508,0.0,0.088,0.088,0.0,0.188,0.188,0.0,232.15,232.15,0.0,4643.0,4643.0,0.0
490,0.052,0.052,0.0,8.713640350877185,8.713640350877185,0.0,69.31539473684211,69.31539473684211,0.0,480164128037.0,480164128037.0,0.0,1267242809.0,1267242809.0,0.0,592407289367.0,592407289367.0,0.0,0.002639186759287337,0.002639186759287337,0.0,1.2363991758464998,1.2363991758464998,0.0,1.2337599890872124,1.2337599890872124,0.0,0.115,0.115,0.0,0.473,0.473,0.0,257.25,257.25,0.0,5145.0,5145.0,0.0
