@
Linux 3.10.0-514.el7.x86_64 (n145.parsacluster.epfl.ch) 	04/18/2019 	_x86_64_	(24 CPU)

11:29:34 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:29:35 AM  all    2.13    0.00    0.38    0.17    0.00    0.00    0.00    0.00    0.00   97.33
11:29:35 AM    0    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:29:35 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:29:35 AM    2    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:29:35 AM    3    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:29:35 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:29:35 AM    5    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:29:35 AM    6    0.98    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   98.04
11:29:35 AM    7    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
11:29:35 AM    8   11.11    0.00    0.00    2.02    0.00    0.00    0.00    0.00    0.00   86.87
11:29:35 AM    9    9.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.91
11:29:35 AM   10    7.07    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.93
11:29:35 AM   11    9.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
11:29:35 AM   12    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:29:35 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:29:35 AM   14    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:29:35 AM   15    3.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
11:29:35 AM   16    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:29:35 AM   17    0.99    0.00    0.00    2.97    0.00    0.00    0.00    0.00    0.00   96.04
11:29:35 AM   18    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
