Operations,avg,avgMean,avgStd,cycles,cyclesMean,cyclesStd,instructionsK,instructionsKMean,instructionsKStd,instructionsU,instructionsUMean,instructionsUStd,ipcK,ipcKMean,ipcKStd,ipcTotal,ipcTotalMean,ipcTotalStd,ipcU,ipcUMean,ipcUStd,p90th,p90thMean,p90thStd,p99th,p99thMean,p99thStd,throughput,throughputMean,throughputStd,totalOps,totalOpsMean,totalOpsStd
10,0.032,0.032,0.0,9373919223.0,9373919223.0,0.0,162360062.0,162360062.0,0.0,14695681694.0,14695681694.0,0.0,0.017320403359315357,0.017320403359315357,0.0,1.585040515342192,1.585040515342192,0.0,1.5677201119828768,1.5677201119828768,0.0,0.083,0.083,0.0,0.108,0.108,0.0,5.75,5.75,0.0,115.0,115.0,0.0
40,0.032,0.032,0.0,25916068530.0,25916068530.0,0.0,217301498.0,217301498.0,0.0,45943023255.0,45943023255.0,0.0,0.00838481723215292,0.00838481723215292,0.0,1.7811468857464086,1.7811468857464086,0.0,1.7727620685142556,1.7727620685142556,0.0,0.073,0.073,0.0,0.11,0.11,0.0,19.75,19.75,0.0,395.0,395.0,0.0
70,0.033,0.033,0.0,52252637670.0,52252637670.0,0.0,280856402.0,280856402.0,0.0,96394069788.0,96394069788.0,0.0,0.005374970805756073,0.005374970805756073,0.0,1.85014442334084,1.85014442334084,0.0,1.844769452535084,1.844769452535084,0.0,0.088,0.088,0.0,0.148,0.148,0.0,36.2,36.2,0.0,724.0,724.0,0.0
100,0.034,0.034,0.0,79080417832.0,79080417832.0,0.0,336285338.0,336285338.0,0.0,148110635699.0,148110635699.0,0.0,0.004252447663015782,0.004252447663015782,0.0,1.8771640958241211,1.8771640958241211,0.0,1.8729116481611054,1.8729116481611054,0.0,0.083,0.083,0.0,0.155,0.155,0.0,50.5,50.5,0.0,1010.0,1010.0,0.0
130,0.031,0.031,0.0,92855479770.0,92855479770.0,0.0,380178013.0,380178013.0,0.0,176088251988.0,176088251988.0,0.0,0.004094298084956198,0.004094298084956198,0.0,1.9004632837836448,1.9004632837836448,0.0,1.8963689856986887,1.8963689856986887,0.0,0.08,0.08,0.0,0.143,0.143,0.0,66.05,66.05,0.0,1321.0,1321.0,0.0
160,0.031,0.031,0.0,121340001458.0,121340001458.0,0.0,428513768.0,428513768.0,0.0,230217033058.0,230217033058.0,0.0,0.003531512797519815,0.003531512797519815,0.0,1.9008203729570123,1.9008203729570123,0.0,1.8972888601594926,1.8972888601594926,0.0,0.078,0.078,0.0,0.15,0.15,0.0,83.05,83.05,0.0,1661.0,1661.0,0.0
190,0.03,0.03,0.0,142364450208.0,142364450208.0,0.0,479040524.0,479040524.0,0.0,269214555311.0,269214555311.0,0.0,0.0033648886593535335,0.0033648886593535335,0.0,1.8943886303144302,1.8943886303144302,0.0,1.8910237416550766,1.8910237416550766,0.0,0.08,0.08,0.0,0.148,0.148,0.0,93.95,93.95,0.0,1879.0,1879.0,0.0
220,0.03,0.03,0.0,154955995667.0,154955995667.0,0.0,534574770.0,534574770.0,0.0,292947962937.0,292947962937.0,0.0,0.0034498488922545447,0.0034498488922545447,0.0,1.8939734241564499,1.8939734241564499,0.0,1.8905235752641953,1.8905235752641953,0.0,0.075,0.075,0.0,0.15,0.15,0.0,108.7,108.7,0.0,2174.0,2174.0,0.0
250,0.029,0.029,0.0,182606229300.0,182606229300.0,0.0,586292345.0,586292345.0,0.0,344785837377.0,344785837377.0,0.0,0.0032106919202454613,0.0032106919202454613,0.0,1.8913491124916406,1.8913491124916406,0.0,1.8881384205713951,1.8881384205713951,0.0,0.073,0.073,0.0,0.143,0.143,0.0,126.25,126.25,0.0,2525.0,2525.0,0.0
280,0.03,0.03,0.0,196373748597.0,196373748597.0,0.0,641851812.0,641851812.0,0.0,370798175684.0,370798175684.0,0.0,0.003268521462699244,0.003268521462699244,0.0,1.8914953253668982,1.8914953253668982,0.0,1.888226803904199,1.888226803904199,0.0,0.075,0.075,0.0,0.158,0.158,0.0,139.8,139.8,0.0,2796.0,2796.0,0.0
310,0.116,0.116,0.0,49386977428.0,49386977428.0,0.0,229800681.0,229800681.0,0.0,91432314054.0,91432314054.0,0.0,0.004653062263934263,0.004653062263934263,0.0,1.8559976639313842,1.8559976639313842,0.0,1.85134460166745,1.85134460166745,0.0,0.273,0.273,0.0,1.15,1.15,0.0,27.25,27.25,0.0,545.0,545.0,0.0
