Operations,avg,avgMean,avgStd,CPUUtilClient,CPUUtilClientMean,CPUUtilClientStd,CPUUtilServer,CPUUtilServerMean,CPUUtilServerStd,cycles,cyclesMean,cyclesStd,instructionsK,instructionsKMean,instructionsKStd,instructionsU,instructionsUMean,instructionsUStd,ipcK,ipcKMean,ipcKStd,ipcTotal,ipcTotalMean,ipcTotalStd,ipcU,ipcUMean,ipcUStd,p90th,p90thMean,p90thStd,p99th,p99thMean,p99thStd,throughput,throughputMean,throughputStd,totalOps,totalOpsMean,totalOpsStd
10,0.003,0.003,0.0,0.3396666666666732,0.3396666666666732,0.0,0.8591250000000059,0.8591250000000059,0.0,3822669328.0,3822669328.0,0.0,313769617.0,313769617.0,0.0,2567509089.0,2567509089.0,0.0,0.08208128668146208,0.08208128668146208,0.0,0.7537347488822607,0.7537347488822607,0.0,0.6716534622007986,0.6716534622007986,0.0,0.003,0.003,0.0,0.005,0.005,0.0,5.15,5.15,0.0,103.0,103.0,0.0
20,0.001,0.001,0.0,0.34412500000000534,0.34412500000000534,0.0,0.6654375000000101,0.6654375000000101,0.0,2727434784.0,2727434784.0,0.0,209632627.0,209632627.0,0.0,1656768207.0,1656768207.0,0.0,0.07686072944063473,0.07686072944063473,0.0,0.6843063104382554,0.6843063104382554,0.0,0.6074455809976207,0.6074455809976207,0.0,0.003,0.003,0.0,0.005,0.005,0.0,9.8,9.8,0.0,196.0,196.0,0.0
30,0.001,0.001,0.0,0.49450000000000216,0.49450000000000216,0.0,0.8918125000000003,0.8918125000000003,0.0,3632000205.0,3632000205.0,0.0,204879710.0,204879710.0,0.0,2617114330.0,2617114330.0,0.0,0.05640960860022859,0.05640960860022859,0.0,0.77698069403055,0.77698069403055,0.0,0.7205710854303214,0.7205710854303214,0.0,0.003,0.003,0.0,0.003,0.003,0.0,14.65,14.65,0.0,293.0,293.0,0.0
40,0.001,0.001,0.0,0.5303749999999923,0.5303749999999923,0.0,0.5477500000000077,0.5477500000000077,0.0,2630309266.0,2630309266.0,0.0,303575632.0,303575632.0,0.0,1347528245.0,1347528245.0,0.0,0.11541442518721674,0.11541442518721674,0.0,0.6277223360547596,0.6277223360547596,0.0,0.5123079108675428,0.5123079108675428,0.0,0.003,0.003,0.0,0.003,0.003,0.0,20.15,20.15,0.0,403.0,403.0,0.0
50,0.001,0.001,0.0,0.5190000000000055,0.5190000000000055,0.0,0.5968124999999986,0.5968124999999986,0.0,2884187651.0,2884187651.0,0.0,274979309.0,274979309.0,0.0,1568136138.0,1568136138.0,0.0,0.09534029760673156,0.09534029760673156,0.0,0.6390414459894656,0.6390414459894656,0.0,0.543701148382734,0.543701148382734,0.0,0.003,0.003,0.0,0.003,0.003,0.0,25.25,25.25,0.0,505.0,505.0,0.0
60,0.001,0.001,0.0,0.5889583333333235,0.5889583333333235,0.0,0.4783749999999998,0.4783749999999998,0.0,2346658600.0,2346658600.0,0.0,286486665.0,286486665.0,0.0,1110175933.0,1110175933.0,0.0,0.12208280531305235,0.12208280531305235,0.0,0.5951707666381467,0.5951707666381467,0.0,0.47308796132509434,0.47308796132509434,0.0,0.003,0.003,0.0,0.003,0.003,0.0,29.5,29.5,0.0,590.0,590.0,0.0
70,0.0,0.0,0.0,0.5890833333333347,0.5890833333333347,0.0,0.6385625000000061,0.6385625000000061,0.0,2426572896.0,2426572896.0,0.0,405883258.0,405883258.0,0.0,1068462899.0,1068462899.0,0.0,0.16726604779484028,0.16726604779484028,0.0,0.6075837076357091,0.6075837076357091,0.0,0.44031765984086885,0.44031765984086885,0.0,0.003,0.003,0.0,0.003,0.003,0.0,33.9,33.9,0.0,678.0,678.0,0.0
80,0.0,0.0,0.0,0.5646249999999924,0.5646249999999924,0.0,0.4141249999999985,0.4141249999999985,0.0,1891314715.0,1891314715.0,0.0,351995355.0,351995355.0,0.0,667889064.0,667889064.0,0.0,0.18611146638279077,0.18611146638279077,0.0,0.5392462771591137,0.5392462771591137,0.0,0.35313481077632286,0.35313481077632286,0.0,0.003,0.003,0.0,0.003,0.003,0.0,41.2,41.2,0.0,824.0,824.0,0.0
90,0.0,0.0,0.0,0.7917916666666684,0.7917916666666684,0.0,0.44031250000000455,0.44031250000000455,0.0,1929665664.0,1929665664.0,0.0,417991931.0,417991931.0,0.0,554268022.0,554268022.0,0.0,0.21661365427083643,0.21661365427083643,0.0,0.5038489159747002,0.5038489159747002,0.0,0.28723526170386376,0.28723526170386376,0.0,0.003,0.003,0.0,0.003,0.003,0.0,46.25,46.25,0.0,925.0,925.0,0.0
100,0.0,0.0,0.0,1.1909583333333416,1.1909583333333416,0.0,0.5023125000000022,0.5023125000000022,0.0,2067784825.0,2067784825.0,0.0,440802934.0,440802934.0,0.0,618864078.0,618864078.0,0.0,0.21317640436789645,0.21317640436789645,0.0,0.5124648363738717,0.5124648363738717,0.0,0.29928843200597527,0.29928843200597527,0.0,0.003,0.003,0.0,0.003,0.003,0.0,49.45,49.45,0.0,989.0,989.0,0.0
