rates,server_cpu_usage,client_cpu_usage,totalOps,avgs,p90th,p99th
1500.0,17.922248322147638,2.556409395973151,1500.0,0.029,0.068,0.13
3000.0,37.68983221476511,4.053439597315444,3004.0,0.035,0.085,0.158
4500.0,42.15082077051926,6.353919597989957,4511.0,0.03,0.073,0.13
6000.0,63.73486666666671,8.922100000000016,5999.0,0.031,0.078,0.138
7500.0,71.5891275167785,10.52385906040271,7454.0,0.03,0.073,0.135
9000.0,91.81318791946299,12.371510067114125,8951.0,0.035,0.088,0.163
10500.0,103.8320134228188,14.009597315436226,10439.0,0.036,0.09,0.165
12000.0,129.04640939597314,15.164697986577194,11937.0,0.037,0.095,0.173
13500.0,126.02468120805378,17.34590604026847,13348.0,0.033,0.083,0.168
15000.0,136.00107382550343,13.61919463087249,14909.0,0.0,0.0,0.0
