rates,server_cpu_usage,client_cpu_usage,throughput,avgs,p90th,p99th
10.0,59.10137931034481,3.086551724137932,10.0,0.044,0.108,0.16
20.0,89.57448275862069,6.526551724137933,20.0,0.038,0.088,0.158
30.0,130.7731034482758,5.853793103448275,30.0,0.039,0.095,0.165
40.0,168.55551724137925,5.707586206896553,39.96666666666667,0.04,0.1,0.178
50.0,214.48250000000007,10.045416666666664,49.93333333333333,0.045,0.113,0.21
60.0,234.261724137931,12.014137931034483,59.96666666666667,0.037,0.095,0.16
70.0,295.2268965517242,10.75586206896552,69.93333333333334,0.044,0.108,0.208
80.0,294.245172413793,10.412758620689655,80.0,0.037,0.093,0.165
90.0,345.4544827586206,12.284482758620696,90.0,0.04,0.103,0.18
100.0,443.698620689655,12.794827586206894,99.9,0.05,0.125,0.255
110.0,425.39586206896564,15.571724137931035,109.66666666666667,0.044,0.108,0.228
120.0,492.7965517241378,16.579655172413794,119.96666666666667,0.051,0.133,0.258
130.0,520.6991666666665,15.625416666666675,129.8,0.05,0.128,0.28
140.0,563.9975862068965,17.220689655172414,140.1,0.049,0.123,0.283
150.0,597.4120689655174,18.73965517241379,150.3,0.071,0.218,0.39
160.0,615.8126666666667,16.87866666666666,160.0,0.062,0.173,0.345
170.0,941.4993103448271,21.040344827586207,170.06666666666666,0.118,0.34,0.8
180.0,805.3589655172415,20.816206896551723,180.03333333333333,0.124,0.365,0.638
190.0,825.935517241379,23.021379310344823,189.93333333333334,0.139,0.41,0.775
200.0,896.5879310344828,108.81827586206893,189.23333333333332,0.165,0.465,0.85
