rates,server_cpu_usage,client_cpu_usage,throughput,avgs,p90th,p99th
10.0,45.89602649006624,8.634470198675494,10.0,0.041,0.1,0.155
20.0,80.20208609271529,11.948642384105957,20.0,0.038,0.095,0.158
30.0,112.79377483443712,18.109619205298014,29.856666666666666,0.036,0.09,0.15
40.0,165.6303697478992,21.740436974789905,39.83,0.041,0.103,0.178
50.0,195.98711635750394,20.562934232715016,49.98,0.04,0.1,0.185
60.0,242.97207070707114,26.044595959595956,59.67666666666667,0.041,0.103,0.178
70.0,263.8312310286684,41.833794266441814,68.92666666666666,0.039,0.098,0.173
80.0,284.741490066225,48.04624172185428,78.42333333333333,0.037,0.095,0.165
90.0,328.310876897133,52.362782462057325,87.99,0.041,0.103,0.188
100.0,348.81342327150116,63.63964586846534,97.20666666666666,0.038,0.093,0.173
110.0,410.16372681281655,66.17399662731862,106.85,0.044,0.108,0.228
120.0,436.92715008431713,70.64079258010122,115.77666666666667,0.043,0.11,0.22
130.0,566.3642158516014,77.70475548060715,125.16,0.06,0.158,0.34
140.0,565.2014646464644,80.80641414141421,134.94,0.061,0.158,0.363
150.0,612.0331365935922,89.2621416526138,143.41,0.062,0.165,0.365
160.0,624.1877609427611,85.2702020202021,153.90333333333334,0.095,0.3,0.63
170.0,724.4858112582797,108.25261589403966,160.89333333333335,0.121,0.388,0.74
180.0,859.3266161616148,123.87762626262626,167.97666666666666,0.124,0.39,0.775
190.0,700.6987205387203,122.97185185185195,177.52,0.068,0.188,0.423
200.0,787.8367508417506,124.50525252525284,187.61,0.077,0.22,0.5
