rates,server_cpu_usage,client_cpu_usage,totalOps,avgs,p90th,p99th
1500.0,17.188187919463076,2.8401006711409353,1500.0,0.101,0.273,0.438
3000.0,33.2819966442953,4.340855704697979,3000.0,0.183,0.478,0.703
4500.0,45.094848993288615,6.3529194630872405,4502.0,0.189,0.52,0.875
6000.0,60.99662751677852,8.815033557046984,6000.0,0.253,0.8,1.2
7500.0,82.90030201342287,10.261510067114092,7486.0,0.211,0.663,1.35
9000.0,86.56322147651007,11.610369127516783,8967.0,0.275,0.875,1.525
10500.0,100.05026845637573,13.57708053691276,8006.0,1.531,2.475,2.475
12000.0,100.07127303182587,10.635845896147401,9552.0,1.406,2.475,2.475
13500.0,100.07416107382535,17.036912751677857,10038.0,1.667,2.475,2.475
15000.0,100.08258333333342,9.897933333333334,9697.0,2.163,2.475,2.475
