rates,server_cpu_usage,client_cpu_usage,throughput,avgs,p90th,p99th
5.0,19.35459595959597,3.442003367003367,5.0,0.083,0.235,0.368
10.0,33.90716887417224,6.264586092715234,10.0,0.192,0.495,0.74
15.0,50.49224283305228,7.3822091062394675,15.016666666666667,0.096,0.295,0.628
20.0,72.46503311258282,11.607400662251663,20.0,0.128,0.393,0.9
25.0,75.1232835820895,15.505787728026554,25.003333333333334,0.194,0.643,1.175
30.0,93.68271500843188,10.123018549747046,29.836666666666666,0.239,0.718,2.125
35.0,96.9513153456999,21.931112984822942,34.93,0.281,0.875,1.95
40.0,99.1950841750841,18.92530303030304,39.50333333333333,0.43,1.35,2.475
45.0,99.69401680672266,18.96285714285715,38.02333333333333,1.197,2.475,2.475
50.0,100.05010118043838,14.88787521079259,36.68,1.738,2.475,2.475
