rates,clients,server_cpu_usage,client_cpu_usage,throughput,avgs,p90th,p99th
5.0,10.0,17.055747508305608,2.7385880398671074,5.0,0.066,0.183,0.313
10.0,20.0,34.08898671096344,5.52737541528239,10.0,0.153,0.433,0.64
15.0,30.0,47.887724252491644,6.685531561461796,15.003333333333334,0.055,0.155,0.313
20.0,40.0,62.4399003322259,12.535681063122922,20.01,0.093,0.288,0.658
25.0,50.0,81.36131229235875,14.237292358803987,24.993333333333332,0.135,0.393,0.975
30.0,60.0,83.56586378737556,11.886910299003326,30.003333333333334,0.107,0.308,0.875
35.0,70.0,99.75750830564778,14.277408637873773,33.70333333333333,0.6,1.825,2.475
40.0,80.0,100.07577702702693,16.311874999999993,33.75,1.182,2.475,2.475
45.0,90.0,100.06230897009954,11.3143853820598,32.053333333333335,1.784,2.475,2.475
50.0,100.0,100.06383445945937,20.71731418918918,35.733333333333334,1.796,2.475,2.475
