rates,clients,server_cpu_usage,client_cpu_usage,throughput,avgs,p90th,p99th
1.0,2.0,39.75075085324238,12.136058020477819,0.9933333333333333,0.459,1.025,1.65
10.0,4.0,74.62536789297653,11.995969899665573,1.9466666666666668,0.664,1.6,2.475
11.0,6.0,97.51754590984972,14.051986644407323,2.44,1.42,2.475,2.475
12.0,8.0,100.92058236272881,14.859217970049885,2.8233333333333333,1.958,2.475,2.475
13.0,10.0,101.07847198641765,11.573480475381999,2.723333333333333,2.908,2.475,2.475
14.0,12.0,101.26557627118642,9.659271186440678,2.7933333333333334,3.629,2.475,2.475
15.0,14.0,101.62687188019962,8.87276206322794,2.816666666666667,4.241,2.475,2.475
2.0,16.0,101.20916808149411,9.753242784380289,3.05,4.623,2.475,2.475
3.0,18.0,100.99585738539875,9.77550084889643,2.7066666666666666,5.991,2.475,2.475
4.0,20.0,101.31443521594677,11.297724252491673,2.8066666666666666,6.293,2.475,2.475
5.0,22.0,101.37948419301155,8.808935108153076,2.4133333333333336,8.055,2.475,2.475
6.0,24.0,101.40645762711858,9.02271186440679,2.6133333333333333,8.134,2.475,2.475
7.0,26.0,101.5898981324277,9.543701188455001,2.1333333333333333,10.755,2.475,2.475
8.0,28.0,101.65250423011845,10.221912013536393,2.6533333333333333,9.163,2.475,2.475
9.0,30.0,101.07765704584045,8.81492359932089,2.3966666666666665,11.115,2.475,2.475
