Operations,avg,cycles,instructionsK,instructionsU,ipcK,ipcTotal,ipcU,p90th,p99th,throughput,totalOps
10,0.021,6809597083.0,55680693.0,11441519108.0,0.0081767970000759,1.6883818030441904,1.6802050060441145,0.048,0.08,4.9,98.0
40,0.022,21458743938.0,78415704.0,42084709203.0,0.0036542541458420754,1.9648458935350757,1.9611916393892337,0.053,0.103,19.85,397.0
70,0.026,41104175610.0,125075872.0,87446480428.0,0.0030428994170015908,2.1304783516615577,2.127435452244556,0.063,0.13,33.35,667.0
100,0.024,67688073232.0,182813108.0,138178408047.0,0.002700817134702748,2.0441004529818527,2.04139963584715,0.063,0.11,55.0,1100.0
130,0.025,71787195377.0,190024014.0,156750785468.0,0.002647046078371827,2.186195026255093,2.183547980176721,0.065,0.115,63.65,1273.0
160,0.026,96569588110.0,273879679.0,214844029380.0,0.002836086229217738,2.2275947663146765,2.2247586800854586,0.068,0.123,83.55,1671.0
190,0.026,104542915223.0,296027096.0,233650156009.0,0.002831632304958648,2.2378004535837794,2.234968821278821,0.065,0.115,94.05,1881.0
220,0.028,131928302191.0,365436024.0,293732047952.0,0.0027699592728096948,2.229222078142252,2.226452118869442,0.07,0.138,116.1,2322.0
250,0.029,153207512640.0,407673454.0,342699714585.0,0.002660923390603778,2.2394945399656607,2.236833616575057,0.073,0.133,127.4,2548.0
280,0.03,162094371505.0,454990893.0,360963798005.0,0.002806950597824831,2.229681299494422,2.226874348896597,0.075,0.155,142.3,2846.0
310,0.033,169114294630.0,522630359.0,375072305896.0,0.0030903972969490664,2.2209532143734667,2.217862817076518,0.078,0.175,154.05,3081.0
340,0.048,185232671110.0,614583373.0,411734546879.0,0.0033178994251777056,2.2261144741962258,2.222796574771048,0.098,0.365,159.35,3187.0
370,0.072,133455629653.0,473793727.0,296332968876.0,0.00355019663263302,2.2240108069980393,2.2204606103654063,0.138,0.975,114.55,2291.0
400,0.181,105125695956.0,390979946.0,232678121500.0,0.0037191663031999646,2.217051685855666,2.2133325195524662,0.39,2.475,77.95,1559.0
430,0.068,83231973582.0,332713278.0,184160444057.0,0.00399742146775135,2.216613993338001,2.2126165718702495,0.115,0.85,57.2,1144.0
460,0.081,52486238240.0,213587983.0,116997538962.0,0.004069409242539764,2.2331782744466695,2.2291088652041298,0.118,0.95,42.0,840.0
490,0.078,77474109080.0,345687509.0,171457212595.0,0.004461974627459633,2.21755244615457,2.2130904715271105,0.105,0.975,59.7,1194.0
520,0.093,22482962141.0,110306040.0,49599884117.0,0.004906205833031474,2.2110160505206893,2.2061098446876577,0.143,1.2,15.6,312.0
550,0.103,19591000758.0,87773734.0,43326233120.0,0.0044803088460990195,2.2160178231973093,2.2115375143512104,0.105,1.85,18.3,366.0
580,0.072,39238047112.0,165744226.0,85501178963.0,0.004224069193018303,2.1832616425704034,2.1790375733773852,0.098,1.375,31.85,637.0
610,0.073,22592265579.0,102604984.0,49203023261.0,0.004541597815465375,2.1824118556233087,2.1778702578078435,0.11,0.825,17.5,350.0
640,0.077,11034212293.0,74818189.0,24236377731.0,0.006780564576183109,2.203256134144056,2.196475569567873,0.113,1.0,9.7,194.0
670,0.072,19404867611.0,98967362.0,42693464421.0,0.005100130749869098,2.2052421403144407,2.2001420095645714,0.123,0.738,15.9,318.0
700,0.099,24992040278.0,117832153.0,54775381042.0,0.0047147872558338235,2.1964278460018893,2.1917130587460556,0.13,1.05,23.7,474.0
730,0.131,15322867109.0,71552922.0,33738060089.0,0.004669682344107315,2.2064808609572597,2.2018111786131525,0.14,1.975,14.15,283.0
760,0.117,11934468341.0,52517328.0,26600293557.0,0.004400474868208459,2.2332633615052795,2.228862886637071,0.093,1.125,10.25,205.0
790,0.046,2423728243.0,22152271.0,5235206589.0,0.009139750326373533,2.1691205997140335,2.1599808493876598,0.1,0.155,1.85,37.0
820,0.072,25469104440.0,103370875.0,56668157528.0,0.0040586772590893655,2.229035125154954,2.2249764478958647,0.093,0.925,20.55,411.0
850,0.095,16373803976.0,71482965.0,35911425258.0,0.004365690776851646,2.1975900209714347,2.193224330194583,0.103,1.775,14.5,290.0
880,0.095,11558694757.0,57631160.0,25435815299.0,0.004985957429587653,2.205564468562599,2.200578511133011,0.11,1.15,10.2,204.0
