Operations,avg,cycles,instructionsK,instructionsU,ipcK,ipcTotal,ipcU,p90th,p99th,throughput,totalOps
10,0.031,8418775085.0,154497741.0,13275547059.0,0.018351570084735196,1.5952492689736704,1.5768976988889352,0.075,0.105,5.25,105.0
40,0.028,24688588639.0,213678407.0,44739054125.0,0.008654946223311328,1.820789887559194,1.8121349413358825,0.068,0.123,19.35,387.0
70,0.027,42419516818.0,265169339.0,80663746650.0,0.006251116440993498,1.9078226736109165,1.901571557169923,0.07,0.123,35.55,711.0
100,0.026,60991389260.0,319505348.0,116697001547.0,0.005238532059631921,1.9185742170287465,1.9133356849691145,0.063,0.12,52.85,1057.0
130,0.027,72040029630.0,329950126.0,143377885013.0,0.004580094257243298,1.994833093171786,1.9902529989145425,0.065,0.115,64.85,1297.0
160,0.026,87499163410.0,380537060.0,174511397989.0,0.00434903655269131,1.9987840824202916,1.9944350458676003,0.068,0.125,79.75,1595.0
190,0.024,101994733715.0,433409581.0,202504869256.0,0.004249332933316537,1.9896936973634611,1.9854443644301445,0.058,0.113,97.4,1948.0
220,0.024,112005644649.0,457329169.0,223492906998.0,0.0040830903695359706,1.999454910230718,1.995371819861182,0.06,0.108,104.2,2084.0
250,0.035,106990155733.0,475022031.0,210749465423.0,0.004439866712461326,1.9742422656260328,1.9698023989135716,0.075,0.278,91.5,1830.0
280,0.023,150829695202.0,584347979.0,299374014188.0,0.003874223694594137,1.988722192704017,1.984847969009423,0.058,0.123,141.95,2839.0
310,0.022,166151821154.0,612627375.0,329323502863.0,0.003687154138576539,1.9857509111031313,1.9820637569645547,0.055,0.105,154.05,3081.0
340,0.022,176270953075.0,676147719.0,348163553713.0,0.003835843099528212,1.9789970800440118,1.9751612369444835,0.053,0.113,172.8,3456.0
370,0.023,199741712346.0,736310905.0,395185567071.0,0.003686315173490327,1.9821692390929815,1.9784829239194912,0.058,0.123,187.8,3756.0
400,0.025,225539446488.0,772326653.0,446919198248.0,0.003424352879402372,1.9849810393359273,1.9815566864565248,0.063,0.123,201.85,4037.0
430,0.027,261345292347.0,918631870.0,516636804280.0,0.0035150121195995786,1.9803510960619033,1.9768360839423038,0.068,0.163,225.05,4501.0
460,0.026,242797664951.0,848243234.0,479248849163.0,0.003493621877175744,1.9773546524588297,1.973861030581654,0.065,0.138,228.4,4568.0
490,0.078,254655888486.0,978161546.0,498560789372.0,0.003841111045244004,1.9616234043826666,1.9577822933374225,0.208,0.8,228.45,4569.0
520,0.049,289415706844.0,1027564291.0,569049381482.0,0.0035504786599362924,1.969751234269677,1.9662007556097407,0.118,0.43,265.15,5303.0
550,0.068,279787530740.0,1018829284.0,547932760372.0,0.0036414392067628423,1.9620302170153816,1.9583887778086189,0.165,0.74,249.7,4994.0
580,0.162,298394679163.0,1123878772.0,584653237013.0,0.003766416931938904,1.9630950438798391,1.9593286269479002,0.515,1.375,269.6,5392.0
